tumor_line,data_column,t_start_.hr.,t_end_.hr.,dex_.ug.ml.,t_cell_start.ci.,t_cell_end.ci.,chi_sq,red_chi_sq,rho_val,rho_stderr,kappainv_val,kappainv_stderr,c0_val,c0_stderr,kappac1_val,kappac1_stderr,kappac2_val,kappac2_stderr,theta_val,theta_stderr,c3_val,c3_stderr,,A col,B col,B-A col,A/B col,theta/kappac2,(theta+c3)/kappa2,Kkappa2-theta
PBT1,"Y(A1,A2)",105,487,0,0,0,174.5267169,0.459280834,0.04547757,0.000180052,0.1883974,0.00104357,0,0,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(B1,B2)",100,440,0,0.25,0.6598,77.75858642,0.141895231,0.302972074,0.007057408,0.32303399,0.007296406,0,0,0.556784512,0.024700335,0.02420882,0.001062544,8.60E-14,0.000306237,0,0,,,,,,3.55242E-12,,
PBT1,"Y(C1,C2)",100,652,0,0.125,0.4155,0.562691004,0.001026808,0.230303627,0.002637951,0.558779003,0.002881498,0,0,0.399998831,0.006383794,0.046346801,0.000498444,0.023015543,0.00031469,0,0,,,,,,0.496593994,,
PBT1,"Y(D1,D2)",100,652,0,0.05,0.33095,1.248510662,0.002278304,0.158646737,0.002698772,0.735855735,0.011107256,0,0,0.063431384,0.011881103,0.085333041,0.101973646,0.091327037,0.125884882,0,0,,,,,,1.070242381,,
PBT1,"Y(A3,A4)",110,450,1.00E-10,0,0,971.1581103,2.881774808,0.035114743,0.000399782,0.118481123,0.002410676,-0.022781879,0.002116829,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A5,A6)",110,450,1.00E-09,0,0,235.6172223,0.699160897,0.048755758,0.000431559,0.16280287,0.001120273,0.019759205,0.002018943,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A7,A8)",110,652,1.00E-08,0,0,837.1389588,1.553133504,0.063754928,0.000904563,0.155767289,0.000667118,0.002624296,0.00389014,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A9,A10)",110,652,1.00E-07,0,0,11482.6259,21.3035731,0.023795962,0.001246952,0.131240113,0.002060404,-0.28491216,0.005237488,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A11,A12)",110,652,1.00E-06,0,0,1567.376875,2.907934832,0.020735286,0.000635529,0.115397385,0.001368656,-0.231145553,0.003842273,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(B3,B4)",100,400,1.00E-10,0.25,0.6596,892.2909828,1.625302337,0.035114743,0.000399782,0.118481123,0.002410676,-0.207692609,0.001555246,0.194126583,0.007637902,0.041179547,0.000313027,0.0001,0,0.155507623,0.008460074,,,,,,0.00242839,,
PBT1,"Y(B5,B6)",100,448,1.00E-09,0.25,0.5282,61.60553754,0.112214094,0.048755758,0.000431559,0.16280287,0.001120273,-0.206477113,0.000854675,0.229015953,0.00297504,0.028418054,0.000244021,0.0001,0,0.095697805,0.003361037,,,,,,0.00351889,,
PBT1,"Y(B7,B8)",100,450,1.00E-08,0.25,0.3724,1825.562526,3.325250502,0.063754928,0.000904563,0.155767289,0.000667118,-0.180813514,0.006331978,0.375701717,0.035976464,0.031075348,0.00017316,0.0001,0,0.206884377,0.019891672,,,,,,0.003217985,,
PBT1,"Y(B9,B10)",100,410,1.00E-07,0.25,0.44495,675.4212142,1.230275436,0.023795962,0.001246952,0.131240113,0.002060404,-0.207416158,0.002693649,0.255130894,0.01230194,0.053809705,0.000730719,0.0001,0,0.311446225,0.011795908,,,,,,0.001858401,,
PBT1,"Y(B11,B12)",100,450,1.00E-06,0.25,0.324,587.3391191,1.069834461,0.020735286,0.000635529,0.115397385,0.001368656,-0.234627627,0.002749284,0.299364231,0.017327008,0.045966701,0.000342067,0.0001,0,0.307467555,0.012298589,,,,,,0.002175488,,
PBT1,"Y(C3,C4)",100,652,1.00E-10,0.125,0.4459,1.997268763,0.003638012,0.043950583,0.00047116,0.158020945,0.001378489,-0.157117185,0.00136801,0.067908595,0.000952639,0.030251679,0.0001584,0.023015543,0.00031469,-0.275342755,0.003698554,,,,,,0.760802169,,
PBT1,"Y(C5,C6)",100,652,1.00E-09,0.125,0.3788,1.870509201,0.003407121,0.047221396,0.000412502,0.157377579,0.000945398,-0.181239216,0.001318211,0.08462548,0.001335459,0.027212027,0.00012483,0.023015543,0.00031469,-0.266599295,0.003817621,,,,,,0.845785689,,
PBT1,"Y(C7,C8)",100,652,1.00E-08,0.125,0.2826,1.558373181,0.002838567,0.043874243,0.000629254,0.14876013,0.000498826,-0.169023873,0.001257415,0.106180956,0.002021681,0.033464508,0.000162203,0.023015543,0.00031469,-0.151027402,0.004486255,,,,,,0.68775979,,
PBT1,"Y(C9,C10)",100,652,1.00E-07,0.125,0.2989,3.224042852,0.005872574,0.019773679,0.000685668,0.110623316,0.001957565,-0.222473942,0.001721842,0.060176215,0.001621644,0.035106589,0.000409757,0.023015543,0.00031469,-0.168979001,0.008325583,,,,,,0.655590408,,
PBT1,"Y(C11,C12)",100,652,1.00E-06,0.125,0.26175,2.676577778,0.004875369,0.019375106,0.000870941,0.119501131,0.002172562,-0.25724035,0.001487657,0.063832604,0.001771214,0.029481799,0.000301259,0.023015543,0.00031469,-0.190029435,0.007754719,,,,,,0.780669558,,
PBT1,"Y(D3,D4)",100,652,1.00E-10,0.05,0.3229,3.748539553,0.006840401,0.043950583,0.00047116,0.158020945,0.001378489,-0.14004724,0.002114447,0.102608079,0.002859873,0.026660196,0.002713499,0.036566299,0.003773714,-0.399024652,0.00613444,,,,,,1.371569024,,
PBT1,"Y(D5,D6)",100,652,1.00E-09,0.05,0.2981,3.309259812,0.006038795,0.047221396,0.000412502,0.157377579,0.000945398,-0.118483807,0.001538411,0.113811412,0.003131254,0.036399573,0.001604669,0.054518312,0.002507668,-0.385180486,0.006599766,,,,,,1.497773394,,
PBT1,"Y(D7,D8)",100,652,1.00E-08,0.05,0.3767,2.92499035,0.005337574,0.043874243,0.000629254,0.14876013,0.000498826,-0.113088494,0.001492338,0.086662349,0.00194867,0.030505636,0.000808866,0.0413314,0.001211606,-0.371701712,0.004753914,,,,,,1.354877505,,
PBT1,"Y(D9,D10)",100,652,1.00E-07,0.05,0.2565,5.213753166,0.009514148,0.019773679,0.000685668,0.110623316,0.001957565,-0.213704941,0.001691198,0.037337353,0.001467154,0.077512094,0.002205077,0.130154146,0.003480343,-0.438799053,0.008512976,,,,,,1.679146302,,
PBT1,"Y(D11,D12)",100,652,1.00E-06,0.05,0.2559,3.026419063,0.005522663,0.019375106,0.000870941,0.119501131,0.002172562,-0.249023629,0.001384354,0.04119825,0.001289784,0.081450532,0.002308231,0.142372442,0.003750673,-0.464661856,0.007354267,,,,,,1.747962088,,
PBT2,"Y(H1,H2)",115,250,0,0,0,42.2338826,0.317547989,0.109995193,0.001949033,0.13043253,0.002300297,0,0,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT2,"Y(G1,G2)",125,345,0,0.25,0.558,6847.952953,13.09360029,0.470864464,0.003699961,0.270507179,0.016984556,0,0,0.554935982,0.056451146,0.031874228,0.002499611,0.001817259,0.000348928,0,0,,,,,,0.057013428,,
PBT2,"Y(F1,F2)",125,652,0,0.125,0.3206,3.051664057,0.005834922,0.358709044,0.002613882,0.175863091,0.002153546,0,0,1.04663218,0.014420801,0.015867745,0.000175665,0.013712831,0.000146551,0,0,,,,,,0.864195322,,
PBT2,"Y(E1,E2)",125,652,0,0.05,0.2164,9.493928227,0.018152826,0.228899836,0.013356018,0.162551309,0.011788258,0,0,1.511460225,0.298836512,0.024406502,0.003781722,0.064472821,0.010017793,0,0,,,,,,2.641624801,,
PBT2,"Y(H3,H4)",115,275,1.00E-10,0,0,8218.601545,52.34778054,0.163096466,0.004286622,0.143567746,0.005903469,0.14,0.004769713,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT2,"Y(H5,H6)",115,275,1.00E-09,0,0,3.445824283,0.021947925,0.181622747,0.000641404,0.139601574,8.09E-05,0.176914705,0.001520506,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT2,"Y(H7,H8)",115,275,1.00E-08,0,0,7.547355639,0.048072329,0.179687073,0.000678522,0.145743582,0.000138097,0.159393899,0.001551714,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT2,"Y(H9,H10)",115,275,1.00E-07,0,0,4.573128439,0.029128207,0.184509921,0.000786808,0.136816785,0.000110189,0.144797997,0.001325526,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT2,"Y(H11,H12)",115,275,1.00E-06,0,0,67.86877863,0.432285214,0.187257367,0.001967196,0.142652279,0.000299442,0.14,0.000892912,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT2,"Y(G3,G4)",120,370,1.00E-10,0.25,0.60505,20649.34703,39.1086118,0.163096466,0.004286622,0.143567746,0.005903469,-2.65E-11,0.000397598,0.103877504,0.010385805,0.035796082,0.00073482,0.011782524,0.000656684,-0.217303493,0.025298103,,,,,,0.329156805,,
PBT2,"Y(G5,G6)",120,380,1.00E-09,0.25,0.5368,156.3466374,0.296111056,0.181622747,0.000641404,0.139601574,8.09E-05,-0.083959863,0.004674436,0.359426748,0.011046511,0.0281438,0.000358627,0.004871385,0.000257477,0.01149205,0.005828084,,,,,,0.1730891,,
PBT2,"Y(G7,G8)",120,652,1.00E-08,0.25,0.3343,69.21021597,0.131079954,0.179687073,0.000678522,0.145743582,0.000138097,-0.111294054,0.003385803,0.387022123,0.008565014,0.026889665,0.000331047,0.008704349,0.000109209,-0.022540775,0.004826525,,,,,,0.323706115,,
PBT2,"Y(G9,G10)",120,652,1.00E-07,0.25,0.2996,2.746390424,0.005191664,0.188144828,0.000812026,0.136876097,0.000100343,-0.162836966,0.003797821,0.48936645,0.011567187,0.012559674,6.71E-05,0.01,0.000860818,-0.056824892,0.005067934,,,,,,0.79619901,,
PBT2,"Y(G11,G12)",120,652,1.00E-06,0.25,0.1787,5.157428185,0.009749392,0.178567589,0.000885881,0.141215984,0.000124862,-0.274394114,0.010594823,0.771139349,0.042732366,0.007713615,4.93E-05,0.01,0.000860818,0.023600564,0.011504898,,,,,,1.296409012,,
PBT2,"Y(F3,F4)",120,652,1.00E-10,0.125,0.3651,6.745295882,0.012751032,0.178583492,0.000700365,0.144666008,0.000122311,-0.088872171,0.00286366,0.372021246,0.011034073,0.013073127,6.19E-05,0.013712831,0.000146551,-0.133674866,0.006376239,,,,,,1.048932746,,
PBT2,"Y(F5,F6)",120,652,1.00E-09,0.125,0.27015,12.101626,0.02287642,0.182191499,0.000677924,0.139774026,0.000113572,-0.118702399,0.004957069,0.473904111,0.023373448,0.011200975,6.78E-05,0.013712831,0.000146551,-0.134089481,0.010484587,,,,,,1.224253335,,
PBT2,"Y(F7,F8)",120,652,1.00E-08,0.125,0.2957,21.18325429,0.040043959,0.179914682,0.000597998,0.145699359,0.000106599,-0.134611809,0.005692425,0.411385207,0.024364579,0.009351365,6.62E-05,0.013712831,0.000146551,-0.153955977,0.012597604,,,,,,1.466398863,,
PBT2,"Y(F9,F10)",120,652,1.00E-07,0.125,0.18075,42.37245289,0.080099155,0.188144828,0.000812026,0.136876097,0.000100343,-0.14599809,0.010386431,0.456748559,0.048985032,0.005156552,4.61E-05,0.013712831,0.000146551,-0.17880521,0.022598955,,,,,,2.659302379,,
PBT2,"Y(F11,F12)",120,652,1.00E-06,0.125,0.1003,30.51751944,0.057689073,0.178567589,0.000885881,0.141215984,0.000124862,-0.150164128,0.013360726,0.549594445,0.077774074,0.003861133,3.47E-05,0.013712831,0.000146551,-0.126723395,0.029658931,,,,,,3.551504442,,
PBT2,"Y(E3,E4)",120,652,1.00E-10,0.05,0.1839,46.87516771,0.088610903,0.178583492,0.000700365,0.144666008,0.000122311,-0.049909509,0.0064969,0.415905126,0.054953005,0.01959252,8.91E-05,0.064472821,0.010017793,-0.262673922,0.028135977,,,,,,3.290685476,,
PBT2,"Y(E5,E6)",120,652,1.00E-09,0.05,0.2475,19.25940936,0.036407201,0.182191499,0.000677924,0.139774026,0.000113572,0.007807527,0.003674639,0.393311976,0.028361759,0.020964461,6.31E-05,0.064472821,0.010017793,-0.244650588,0.015453099,,,,,,3.075338832,,
PBT2,"Y(E7,E8)",120,652,1.00E-08,0.05,0.1127,48.43437585,0.091558366,0.179914682,0.000597998,0.145699359,0.000106599,-0.05390922,0.009000813,0.581081687,0.118871471,0.017977702,7.81E-05,0.064472821,0.010017793,-0.165272911,0.043072446,,,,,,3.586265975,,
PBT2,"Y(E9,E10)",120,652,1.00E-07,0.05,0.06205,15.71042126,0.029698339,0.188144828,0.000812026,0.136876097,0.000100343,-0.42380506,0.019342025,15.55415198,0.978469419,0.018625479,4.81E-05,0.064472821,0.010017793,0.457472217,0.011845818,,,,,,3.461538949,,
PBT2,"Y(E11,E12)",120,652,1.00E-06,0.05,0.0827,17.72881555,0.033513829,0.178567589,0.000885881,0.141215984,0.000124862,-0.044725282,0.008571924,0.796647589,0.134828634,0.017584506,4.52E-05,0.064472821,0.010017793,-0.133533232,0.035460959,,,,,,3.666456197,,
PBT4,"Y(H1,H2)",115,666,0,0,0,68.93559618,0.125565749,0.022425871,0.000129514,0.324110539,0.002199993,0,0,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT4,"Y(G1,G2)",105,320,0,0.25,0.64575,1843.227371,3.394525544,0.184514996,0.051700925,0.073937131,0.044877682,0,0,0.417698356,0.199216327,0.039146053,0.01636741,9.74E-08,0.003056375,0,0,,,,,,2.48812E-06,,
PBT4,"Y(F1,F2)",105,370,0,0.125,0.24335,24807.22778,45.68550235,0.233650968,,0.00586255,,0,0,1.447540777,,0.011853399,,1.86E-07,,0,0,,,,,,1.56917E-05,,
PBT4,"Y(E1,E2)",105,575,0,0.05,0.099,817.2315988,1.505030569,0.24105073,0.053702258,0.16453678,0.044767743,0,0,3.044090125,1.104155968,0.006597602,0.001921405,3.23E-05,5.98E-06,0,0,,,,,,0.004895718,,
PBT4,"Y(H3,H4)",105,666,1.00E-10,0,0,71930.86205,128.9083549,0.017446736,0.000146234,0.264302875,0.002421764,-0.050287285,0.000967148,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT4,"Y(H5,H6)",105,666,1.00E-09,0,0,8239.907985,14.76686019,0.017342085,0.000520416,0.213870845,0.006292375,-0.047057466,0.004730836,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT4,"Y(H7,H8)",105,666,1.00E-08,0,0,2060.213219,3.692138386,0.025270818,0.000238141,0.280026577,0.000890897,-0.037418538,0.001892746,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT4,"Y(H9,H10)",105,666,1.00E-07,0,0,726.6959989,1.302322579,0.020892102,0.000169388,0.25234514,0.001989786,-0.059832718,0.000568138,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT4,"Y(H11,H12)",105,666,1.00E-06,0,0,997.365107,1.787392665,0.021707174,0.00022049,0.27725984,0.002423323,-0.048341123,0.001155664,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT4,"Y(G3,G4)",110,325,1.00E-10,0.25,0.45055,74.48745273,0.134941038,0.1765464,0,0.1478743,0,-0.078649064,0.018860547,0.644269108,0.078401462,0.029201546,0.002012786,5.08E-09,0.001527647,0.083614767,0.023962628,,,,,,1.73963E-07,,
PBT4,"Y(G5,G6)",110,330,1.00E-09,0.25,0.4802,2573.121212,4.661451471,0.1765464,0,0.1478743,0,-0.02310304,0.007450616,0.520856519,0.033453772,0.035349233,0.001545295,5.59E-09,0.000758579,0.075338081,0.013862896,,,,,,1.58136E-07,,
PBT4,"Y(G7,G8)",110,338,1.00E-08,0.25,0.3291,68218.3856,123.5840319,0.1765464,,0.1478743,,-0.049890971,,0.517164439,,0.040900722,,5.41E-09,,0.143847571,,,,,,,1.32272E-07,,
PBT4,"Y(G9,G10)",110,345,1.00E-07,0.25,0.12035,23572.08116,42.70304558,0.1765464,,0.1478743,,-0.308234906,,1.578698115,,0.023234958,,8.49E-09,,0.218428608,,,,,,,3.65398E-07,,
PBT4,"Y(G11,G12)",110,360,1.00E-06,0.25,0.0647,56.01914653,0.101483961,0.1765464,0,0.1478743,0,-0.34790713,0.034423335,2.005082707,0.182275556,0.021837383,0.002611776,5.17E-09,0.000906006,0.284289518,0.014071699,,,,,,2.3675E-07,,
PBT4,"Y(F3,F4)",110,385,1.00E-10,0.125,0.14025,9702.927637,17.57776746,0.233650968,0,0.01,0,-0.050387049,0.002458533,1.706254991,0.011337676,0.012506666,0.000676047,1.41E-08,0.000614456,0.041775803,0.001171542,,,,,,1.1274E-06,,
PBT4,"Y(F5,F6)",110,394,1.00E-09,0.125,0.18635,3032.612019,5.493862353,0.233650968,0,0.01,0,-0.043590021,0.009700138,2.325813018,0.044421783,0.017365209,0.000360244,1.02E-08,4.22E-06,0.129566371,0.003347175,,,,,,5.87381E-07,,
PBT4,"Y(F7,F8)",110,425,1.00E-08,0.125,0.1558,107.6721481,0.195058239,0.233650968,0,0.01,0,-0.080043714,0.01456975,1.966902024,0.121995962,0.010517547,0.000443431,1.00E-08,0.00043074,0.0622921,0.012630332,,,,,,9.50792E-07,,
PBT4,"Y(F9,F10)",110,425,1.00E-07,0.125,0.10765,3120.653136,5.653357131,0.233650968,0,0.01,0,-0.117830062,0.046108664,2.062917675,0.400367041,0.007762515,0.000410072,1.07E-08,0.000325221,0.053430761,0.040250843,,,,,,1.37842E-06,,
PBT4,"Y(F11,F12)",110,465,1.00E-06,0.125,0.10915,1024.185454,1.855408432,0.233650968,0,0.01,0,-0.048341123,0.008868965,1.454820615,0.029939301,0.007671478,0.001166464,1.86E-07,0.00124332,0,1.82E-11,,,,,,2.42457E-05,,
PBT4,"Y(E3,E4)",110,565,1.00E-10,0.05,0.05495,186.2586993,0.336815008,0.24105073,0.053702258,0.16453678,0.044767743,-0.050287285,0.000967148,3.823530273,0.026564272,0.008257002,0.000172363,1.00E-08,0.000115244,0.043833778,0.001760979,,,,,,1.21109E-06,,
PBT4,"Y(E5,E6)",110,525,1.00E-09,0.05,0.08115,27305.90888,49.37777375,0.24105073,0.053702258,0.16453678,0.044767743,-0.047057466,0.004730836,3.925165727,0.008368996,0.009136977,0.000136394,2.89E-05,0.000162908,0.056916579,0.000565437,,,,,,0.003162972,,
PBT4,"Y(E7,E8)",110,666,1.00E-08,0.05,0.0855,86.05324275,0.155611651,0.24105073,0.053702258,0.16453678,0.044767743,-0.037418538,0.001892746,3.304069678,0.019554772,0.006511262,0.000154179,0.001748033,0.000149231,-0.001752597,0.001448406,,,,,,0.268463011,,
PBT4,"Y(E9,E10)",110,666,1.00E-07,0.05,0.0917,1080.981365,1.954758345,0.24105073,0.053702258,0.16453678,0.044767743,-0.059832718,0.000568138,3.569319805,0.026647512,0.008825457,0.000181705,0.009070633,0.000226511,-0.001063069,0.001511934,,,,,,1.027780544,,
PBT4,"Y(E11,E12)",110,666,1.00E-06,0.05,0.0375,51.93079696,0.093907409,0.24105073,0.053702258,0.16453678,0.044767743,-0.048341123,0.001155664,3.146086884,0.015703333,0.01459894,0.000480396,0.015806301,0.000592977,-0.033495924,0.001121903,,,,,,1.082701963,,